20000101_pr,20000201_pr,20000301_pr,20000401_pr,20000501_pr,20000601_pr,20000701_pr,20000801_pr,20000901_pr,20001001_pr,20001101_pr,20001201_pr,20200101_pr,20200201_pr,20200301_pr,20200401_pr,20200501_pr,20200601_pr,20200701_pr,20200801_pr,20200901_pr,20201001_pr,20201101_pr,20201201_pr,Id,stable,uc
4.15991356,0,0.351701783,3.002431118,11.73527823,7.014856834,12.93300918,12.1904376,14.00729335,1.773635873,5.606158833,3.321177742,0.873311723,1.002431118,1.590491626,11.49918963,11.27795786,15.91707185,5,8.167206915,7.772555375,1.077525662,2.545380875,1.648298217,10082,19,5
11.54719133,8.982606216,11.38979184,28.4491018,37.43170801,54.78300542,56.142572,28.79127459,22.24607927,37.93470202,13.38979184,13.9928714,6.429712005,10.09694896,15.24664956,23.48160821,28.71257485,55.34816082,40.31052181,46.13601369,43.12631879,14.29569433,11.79897348,8.223838038,26587,21,5
3.393887461,0.179091688,2.520994002,6.507283633,6.382747786,12.37874893,8.171950871,5.969722936,13.20851185,3.488431877,3.115109969,4.956583833,1.363610397,0.333333333,1.902027992,5.509568695,13.23479006,9.161382462,17.26192516,3.058840331,9.799485861,0.333333333,3.435018566,1.550128535,13955,21,5
15.63859649,7.824291498,7.362483131,18.01079622,17.34601889,23.27881242,28.19082321,24.92064777,9.285020243,17.38461538,19.71956815,21.41646424,7.011336032,8.194601889,5.707422402,6.666666667,13.28394062,26.11956815,26.8,34.79784076,25.60350877,10.34224022,16.32496626,8.620782726,28290,22,5
5.628391888,1.032276492,1.632962011,5.495287061,15.55669809,20.19280206,40.60982576,17.02742074,15.58697515,5.560125678,3.834333048,4.02027992,1.274778635,2.145958298,2.32762068,10.38874607,18.34675807,23.36846615,17.93601828,20.26363896,12.6363896,7.103970294,2.152527849,1.522707798,16383,24,5
9.356429997,7,7.784716282,26.99059025,15.89478186,37.79754776,33.39264328,16.83262047,15.90248075,14.68805247,7.860849729,10.13059595,6.162246935,4.057599088,6.216994582,14.22212717,22.17621899,16.53521528,19.90162532,12.750499,15.37154263,7.724836042,8.501568292,4.293413174,23772,25,5
14.81266039,8.184203023,6.946107784,15.73253493,15.68092387,20.06244654,23.60935272,21.42743085,8.024807528,15.81380097,19.86883376,21.47847163,6.254918734,8.627316795,4.9429712,5.295124038,13.08183633,23.51354434,19.52979755,28.92700314,22.57428001,10.52095808,15.78300542,9.013686912,28186,25,5
1.666666667,0.187857961,0.606242841,3.629725086,5.806701031,20.13860252,30.75486827,12.21563574,7,1.426689576,0.34163803,1.274341352,0.333333333,0.427262314,0.66093929,2.416380298,22.11454754,17.30555556,15.84679267,17.79295533,6.030641466,1.4604811,0.333333333,0,16427,27,5
2.333333333,0,0,0.666666667,4.291595197,3.544596913,14.49342481,3,2.333333333,1,0,0,0.666666667,2.89679817,0,4.058319039,3.783018868,13.11406518,2.018867925,0.744997141,2.411663808,0,0,0,3917,28,5
1.926243568,0,0,0.43081761,5.560606061,2.921669525,11.66666667,6.003144654,5.930245855,0.333333333,0,0,0.666666667,0.382504288,0.333333333,10.87621498,3.314751286,5.333333333,5.407089766,2,6.562035449,0,0,0,7075,30,5
14.39274493,8,7.832333619,17.37160811,17.09054556,22.04113111,26.7526421,23.93487575,8.908026278,17.27734933,18.35018566,20.26278206,6.333333333,8.269637247,5.801770923,6.010282776,13.21536704,24.95001428,24.28906027,32.10539846,24.04798629,10.60039989,14.73150528,8.513853185,28236,32,5
2.551842331,0.939445873,1.745501285,12.18451871,22.98886033,29.68380463,27.15595544,40.48443302,51.97400743,9.437017995,1.333333333,0,1.078834619,1.694087404,5.35646958,10.35332762,13.35532705,31.44244502,9.908311911,33.69094544,27.52756355,8.636389603,4.752642102,0.009140246,5973,32,5
2.339811066,0.053441296,0,1.106612686,5.141430499,6.659919028,19.15924426,6.313900135,5.134682861,1.623751687,1.126045884,2,0.333333333,0.522267206,0.735492578,3.507422402,8.283130904,4.986504723,7.632928475,4.459919028,5.464237517,1.470985155,0.281511471,0.666666667,14450,33,5
21.86065808,14.83519313,15.28841202,41.82804006,42.28440629,50.31187411,51.50157368,26.17711016,23.25865522,60.95851216,22.86981402,27.35422031,9.654649499,15.21402003,20.6297568,44.55164521,31.4869814,50.018598,40.85550787,29.89127325,28.70128755,21.5888412,32.63032904,16.07010014,25491,34,5
2,0,0,0.666666667,7.426815323,6,14.50943396,6.568038879,7.41509434,0.898227559,1.666666667,1.179817038,0.666666667,0.666666667,0.172098342,7.82161235,5.595197256,5.454259577,8.91623785,4.016295026,9.198399085,0.754716981,0.666666667,0.372498571,10467,34,5
2,0,0,0.666666667,7.401086335,6.083476272,15.07261292,6.644082333,7.333333333,1.333333333,0.960548885,1.310748999,0.666666667,0.666666667,0.077186964,7.903087479,5.770440252,5.194396798,9.382504288,3.78158948,8.951972556,1.011149228,0.384219554,0.55946255,10835,34,5
8.035132819,5.333333333,5.178806055,14,11.21879463,25.58183376,24.76463867,13,9.333333333,12.697515,5,8,3.894601542,2.741216795,6.504427306,6.997143673,11.22107969,11.2019423,10.42530706,8.44501571,8.775778349,3.360468438,4.368466153,3.333333333,25535,35,5
13.95897436,8.052091768,7.628879892,17.1417004,15.65398111,20.2391363,21.36167341,20.32388664,8.25802969,16.03184885,19.31956815,20.06531714,6.279622132,9.260728745,5.525506073,5.023211876,11.94116059,23.40917679,14.80053981,24.09311741,21.41781377,11.42024291,14.22887989,9.198110661,28076,37,5
2,0,0,0.548622366,6.237439222,3.297406807,11.38870881,6.371690978,6,0.333333333,0.115072934,0,0.666666667,0.595894111,0.443814155,12.81010265,3.849270665,5.745002701,5.740950837,2.079416532,6.666666667,0,0.057536467,0,7364,37,5
