20000101_pr,20000201_pr,20000301_pr,20000401_pr,20000501_pr,20000601_pr,20000701_pr,20000801_pr,20000901_pr,20001001_pr,20001101_pr,20001201_pr,20200101_pr,20200201_pr,20200301_pr,20200401_pr,20200501_pr,20200601_pr,20200701_pr,20200801_pr,20200901_pr,20201001_pr,20201101_pr,20201201_pr,Id,gc,stable
6.928143713,1.333333333,1.79526661,6.082121471,14.25206729,17.51411463,35.69061876,14.80325064,13.80638723,6.358426005,4.656401483,4.901625321,1.655260907,2.277159966,1.899914457,9.362418021,15.75278015,19.74251497,11.68862275,17.0453379,12.43798118,8.328200741,2.033076704,2.420017109,16692,5,26
15.82347901,9.066266781,8.037417881,36.04684376,37.97000857,43.14910026,59.21165381,32.01628106,30.25849757,44.4073122,14.65724079,18.15681234,8.762639246,12.33533276,15.70722651,30.36218223,38.00028563,45.16452442,46.64610111,33.32276492,22.85632676,25.14938589,16.12282205,8.80576978,21824,5,26
0,0,3.856203545,42.19754145,5.254145226,45.54574042,14.29302459,17.30874786,13.71269297,21.3950829,4.248713551,8.333333333,0.634076615,1.288450543,5.244425386,13.47427101,20.11349342,33.66981132,34.26072041,25.04402516,16.19668382,13.69611206,5.414808462,2,22996,5,26
9.020600858,1.842918455,2.367095851,7.527610873,15.85665236,19.18855508,38.39456366,16.13190272,14.60429185,9.132474964,5.56795422,6.5490701,3,2.533333333,3.365665236,9.569957082,18.73218884,19.25693848,18.89041488,18.84091559,12.87267525,11.52389127,2.619170243,3.490414878,17300,5,27
3.289954338,0.891267123,0.666666667,7.293949772,13.80993151,19.33333333,11.19977169,19.61643836,28.55479452,6.086472603,2.590182648,0.71489726,1.326484018,0.333333333,2.333333333,7.630136986,8.876426941,10.87813927,3.719748858,19.08276256,22.20861872,7.154109589,2.085616438,0.414383562,8557,5,27
2.819634703,0,0.001997717,1.666666667,4.333333333,10.62271689,20.6826484,6.651255708,4.340182648,1.717180365,0.666666667,2.002568493,0.666666667,0.333333333,0.33533105,3.333333333,11.93436073,11.74828767,9.060502283,9.711757991,4.011700913,1.966324201,0,0.29423516,15131,5,27
13.66666667,10.74213836,8.431389365,27.8299028,13.25786164,28.45997713,25.57690109,11.82504288,12.92338479,14.64236707,11.31532304,13.56861063,7.357347055,7,5.054316752,8.72698685,12.12635792,13.7352773,16.99113779,8.708976558,14.48113208,7.216981132,7.046312178,5.965408805,24617,5,28
14.66666667,9.411663808,9,28.7404231,10.28301887,25.40451687,22.85963408,9.411663808,11.66666667,15.74985706,12.27444254,12.34591195,6.011435106,6.098056032,5,6.958261864,10.61092053,12.21955403,15.25242996,9.276443682,10.9488279,9.139794168,8.803887936,4.92595769,24464,5,29
1.414167381,0.333333333,0.333333333,2.972007998,3.20594116,14.88117681,11.34475864,4.539560126,1.666666667,0.345901171,0.227077978,0.850042845,0.622964867,0.302485004,2.333333333,2.485004284,14.12282205,5.511853756,10.45701228,2.836618109,1.605826907,0.691802342,0.927734933,0,16459,5,29
0,0.776443682,1.36649514,12.59605489,48.12121212,87.49285306,83.63522013,69.41823899,89.87049743,11.29102344,2.342767296,0.156946827,0.666666667,1.078616352,4.426243568,16.56603774,39.87049743,79.29302459,73.81360778,86.08490566,65.62264151,15.28416238,1.668953688,0.333333333,6158,5,29
4.06037196,1,0.333333333,6.333333333,16.56909871,21.61344778,12.1739628,20.64263233,31.63090129,7.255221745,3.204577969,0.689842632,1.810872675,0.333333333,1.643490701,6.666666667,10.96995708,13.69985694,5.431473534,17.86866953,23.08640916,5.280972818,1.965951359,0.356509299,7279,5,29
3.968553459,0.688965123,0.340766152,6.995425958,15.81875357,21.15208691,11.36878216,19.43081761,29.78530589,6.833619211,3.335620354,0.007432819,1.542595769,0.017724414,1.741852487,6.722412807,10.44425386,10.71440823,4.353916524,18.8273299,22.56117782,5.942824471,2.024871355,0.333333333,7892,5,30
0,0,0,1,1.489994282,15,2,2.961692396,0,0,0,0,0.333333333,0,1.921669525,0.666666667,1.979988565,6.388221841,6.223556318,2.13950829,0,0.232132647,0,0.075471698,9114,5,31
6.170522708,1.980291345,1.886032562,13.02942017,19.09054556,31.24393031,50.63353328,22.52584976,18.85432734,11.29134533,3.809768638,6.082262211,2.36075407,2.905741217,4.360182805,18.34075978,23.8243359,29.98771779,29.03541845,27.0148529,14.21965153,11.34275921,3.556698086,1.431019709,18785,5,32
15.68234959,9,7.710578842,34.69974337,36.26974622,41.76703735,57.31650984,30.63758198,28.48075278,43.48816652,14.30054177,18.1568292,8.70687197,11.69575135,14.60507556,28.65925292,34.03535786,43.08696892,42.55688623,30.5392073,20.97319646,25.35015683,16.45480468,8.765611634,21825,5,33
2,0,0,1.002288984,5.000858369,3,19.30300429,1.666666667,1.336194564,1.886695279,0,1.643776824,0.333333333,1.000858369,0.470958512,2.024606581,12.08125894,8.214592275,5.909585122,0.635193133,0.666666667,0.71788269,0,0.513590844,2470,5,33
3.86049171,2.174099485,1.692395655,10.48256146,29.28301887,39.53373356,29.33361921,46.61063465,53.48256146,13.96883934,4.730703259,0.210977702,2.18810749,1.17238422,3.116066324,13.06032018,23.50028588,34.68696398,23.05288736,30.54431103,35.15237278,10.58033162,3.032018296,0.064894225,3833,5,33
4.613893376,2.065697361,1.629509962,12.36429725,41.71513193,64.05008078,58.30936995,56.63031772,77.73344103,12.91491653,4.587506731,4.49461497,2.951534733,1.731017771,3.766828218,18.77948304,31.57835218,51.79994615,33.66047388,69.96742057,64.94749596,11.70786214,3.36914378,1.985191169,6423,5,33
6.728914039,5,5.624360011,19.21584479,4.358124495,19.92805174,16.34896254,6.998113716,7.39746699,8.669361358,7.269469146,6.325788197,2.379412557,3.178119105,3.019401778,4.603071948,6.992993802,8.480194018,16.79762867,6.613581245,10.80840744,4.900026947,6.307464295,2.664780383,24147,5,36
10.53898886,7.497857755,8.860039989,23.29848615,28.38760354,40.02427878,43.38246215,21.58154813,14.96972294,29.02570694,12.77892031,13.49785775,5.979148815,7.497857755,10.20022851,13.55412739,27.11910883,28.3347615,26.25564125,40.7229363,23.33704656,12.28734647,8.759211654,5.600971151,26881,5,36
1.666666667,0,0.370815451,3.187410587,5.27267525,19.83204578,27.23547926,10.83633763,5.56795422,1.333333333,0.333333333,1.392846924,0.333333333,0.333333333,0.408297568,2.542775393,16.45693848,15.62288984,14.02374821,16.49470672,4.836909871,1.333333333,0,0,16123,5,36
17.30907534,9.222888128,8.965468037,37.14326484,39.69492009,46.06592466,62.9135274,32.08219178,34.91010274,48.55222603,15.4375,18.41523973,11.35730594,11.32363014,16.72745434,34.85074201,41.62813927,46.45034247,48.65125571,35.71090183,25.59446347,33.47174658,17.94263699,8.513413242,21461,5,36
3.639794168,3.151515152,1.939393939,10.79359634,30.65523156,39.75843339,28.16409377,43.30531732,54.95940537,14.66838193,6.221555174,0.415951973,1.818181818,1.528587764,3.134934248,15.52744425,25.96197827,31.53487707,23.71555174,33.96340766,39.6918239,11.24213836,3.993996569,0.775300172,4282,5,36
2.333333333,0,0,0.535846901,4.712367895,6,17.6232505,5.005141388,4.977435019,1.217366467,0,1,0.333333333,0.666666667,0.333333333,3.710368466,4.583833191,4.988574693,6.870037132,2.95944016,5.672950586,0.8260497,0,0.333333333,12317,5,36
7.666666667,5.725691474,6.581693755,22.62104363,22.79155974,40.06643855,41.82349587,27.03022526,19.53550043,20.52723125,5.518962076,6.790134018,4.333333333,6.217279726,7.361847733,14.57599088,27.64955803,29.68063872,19.85942401,22.14656401,14.26603935,10.29426861,6.626461363,3.874251497,22883,5,37
1.017408676,0.333333333,0.666666667,1.197773973,7.23173516,8.559931507,0,0,0,0.674086758,0,0.317636986,1.333333333,1.014840183,1.84760274,2.813926941,14.6538242,8.913242009,2.111015982,5.52283105,0.674942922,1.363013699,0,0.110159817,4559,5,37
2.237169098,2.333333333,1.51080497,10.11048082,30.08184765,40.27660724,27.12236629,37.55591572,53.25742842,12.47271745,5.96380335,1.662074554,1.142625608,1,2.934359806,16.15505132,27.58616964,27.39519179,24.08941113,36.51971907,45.41112912,10.23878984,2.862506753,1.333333333,5451,5,37
2.113013699,2.335616438,1.364155251,13.03909817,39.85987443,56.33133562,42.70633562,48.17265982,71.56563927,13.12899543,4.71803653,1.671232877,1.394977169,1.335616438,4.033105023,19.80936073,29.25428082,46.49086758,28.42522831,53.58476027,60.1515411,12.16780822,2.581621005,0.679223744,6175,5,37
